candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
"NA",0,0,0,72,420,2265,10091,18579,vote_choice,17,10
LONDON BREED,92197,92200,92346,92554,94183,97495,104321,117156,vote_choice,18,1
MARK LENO,61515,61515,61656,62028,63341,64773,69989,115673,vote_choice,18,2
JANE KIM,60837,60837,60938,61582,62169,63815,67093,NA,vote_choice,18,3
ANGELA ALIOTO,17600,17600,17821,18021,20319,23041,NA,NA,vote_choice,18,4
ELLEN LEE ZHOU,9597,9597,9732,9879,10971,NA,NA,NA,vote_choice,18,5
RICHIE GREENBERG,7062,7062,7149,7261,NA,NA,NA,NA,vote_choice,18,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,18,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,18,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,18,9
"NA",0,0,0,73,415,2274,9995,18569,vote_choice,18,10
LONDON BREED,92197,92200,92344,92559,94154,97446,104285,117122,vote_choice,19,1
MARK LENO,61515,61515,61656,62034,63375,64819,70047,115767,vote_choice,19,2
JANE KIM,60837,60837,60947,61579,62154,63807,67054,NA,vote_choice,19,3
ANGELA ALIOTO,17600,17600,17821,18028,20354,23054,NA,NA,vote_choice,19,4
ELLEN LEE ZHOU,9597,9597,9727,9865,10930,NA,NA,NA,vote_choice,19,5
RICHIE GREENBERG,7062,7062,7150,7263,NA,NA,NA,NA,vote_choice,19,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,19,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,19,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,19,9
"NA",0,0,0,70,431,2272,10012,18509,vote_choice,19,10
LONDON BREED,92197,92200,92341,92553,94149,97439,104271,117085,vote_choice,20,1
MARK LENO,61515,61515,61652,62021,63311,64738,69997,115719,vote_choice,20,2
JANE KIM,60837,60837,60941,61583,62160,63824,67083,NA,vote_choice,20,3
ANGELA ALIOTO,17600,17600,17816,18018,20356,23095,NA,NA,vote_choice,20,4
ELLEN LEE ZHOU,9597,9597,9733,9879,10985,NA,NA,NA,vote_choice,20,5
RICHIE GREENBERG,7062,7062,7156,7268,NA,NA,NA,NA,vote_choice,20,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,20,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,20,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,20,9
"NA",0,0,0,76,437,2302,10047,18594,vote_choice,20,10
LONDON BREED,92197,92200,92345,92558,94146,97467,104405,117232,vote_choice,21,1
MARK LENO,61515,61515,61650,62022,63336,64784,69969,115684,vote_choice,21,2
JANE KIM,60837,60837,60949,61591,62180,63838,67052,NA,vote_choice,21,3
ANGELA ALIOTO,17600,17600,17817,18020,20405,23101,NA,NA,vote_choice,21,4
ELLEN LEE ZHOU,9597,9597,9732,9873,10917,NA,NA,NA,vote_choice,21,5
RICHIE GREENBERG,7062,7062,7151,7263,NA,NA,NA,NA,vote_choice,21,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,21,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,21,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,21,9
"NA",0,0,0,71,414,2208,9972,18482,vote_choice,21,10
LONDON BREED,92197,92200,92336,92556,94169,97483,104324,117101,vote_choice,22,1
MARK LENO,61515,61515,61656,62033,63360,64792,70002,115730,vote_choice,22,2
JANE KIM,60837,60837,60941,61563,62149,63787,67045,NA,vote_choice,22,3
ANGELA ALIOTO,17600,17600,17822,18030,20355,23083,NA,NA,vote_choice,22,4
ELLEN LEE ZHOU,9597,9597,9733,9880,10943,NA,NA,NA,vote_choice,22,5
RICHIE GREENBERG,7062,7062,7157,7266,NA,NA,NA,NA,vote_choice,22,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,22,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,22,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,22,9
"NA",0,0,0,70,422,2253,10027,18567,vote_choice,22,10
LONDON BREED,92197,92200,92348,92555,94173,97454,104319,117146,vote_choice,23,1
MARK LENO,61515,61515,61656,62034,63351,64808,70070,115778,vote_choice,23,2
JANE KIM,60837,60837,60941,61585,62159,63800,66997,NA,vote_choice,23,3
ANGELA ALIOTO,17600,17600,17822,18026,20324,23044,NA,NA,vote_choice,23,4
ELLEN LEE ZHOU,9597,9597,9727,9866,10972,NA,NA,NA,vote_choice,23,5
RICHIE GREENBERG,7062,7062,7146,7257,NA,NA,NA,NA,vote_choice,23,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice,23,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,23,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,23,9
"NA",0,0,0,75,419,2292,10012,18474,vote_choice,23,10
LONDON BREED,92197,92200,92337,92546,94159,97471,104278,117061,vote_choice,24,1
MARK LENO,61515,61515,61652,62027,63335,64791,70008,115755,vote_choice,24,2
JANE KIM,60837,60837,60948,61589,62170,63805,67089,NA,vote_choice,24,3
ANGELA ALIOTO,17600,17600,17821,18027,20340,23053,NA,NA,vote_choice,24,4
ELLEN LEE ZHOU,9597,9597,9732,9874,10981,NA,NA,NA,vote_choice,24,5
RICHIE GREENBERG,7062,7062,7152,7262,NA,NA,NA,NA,vote_choice,24,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,24,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,24,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,24,9
"NA",0,0,0,73,413,2278,10023,18582,vote_choice,24,10
LONDON BREED,92197,92200,92339,92557,94130,97428,104269,117068,vote_choice,25,1
MARK LENO,61515,61515,61661,62033,63386,64838,70108,115844,vote_choice,25,2
JANE KIM,60837,60837,60944,61586,62154,63798,67006,NA,vote_choice,25,3
ANGELA ALIOTO,17600,17600,17817,18023,20345,23060,NA,NA,vote_choice,25,4
ELLEN LEE ZHOU,9597,9597,9734,9869,10968,NA,NA,NA,vote_choice,25,5
RICHIE GREENBERG,7062,7062,7151,7261,NA,NA,NA,NA,vote_choice,25,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,25,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,25,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,25,9
"NA",0,0,0,69,415,2274,10015,18486,vote_choice,25,10
LONDON BREED,92197,92200,92339,92557,94139,97450,104290,117127,vote_choice,26,1
MARK LENO,61515,61515,61656,62033,63368,64801,70033,115717,vote_choice,26,2
JANE KIM,60837,60837,60943,61595,62165,63803,67080,NA,vote_choice,26,3
ANGELA ALIOTO,17600,17600,17824,18019,20416,23129,NA,NA,vote_choice,26,4
ELLEN LEE ZHOU,9597,9597,9727,9864,10906,NA,NA,NA,vote_choice,26,5
RICHIE GREENBERG,7062,7062,7156,7260,NA,NA,NA,NA,vote_choice,26,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,26,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,26,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,26,9
"NA",0,0,0,70,404,2215,9995,18554,vote_choice,26,10
LONDON BREED,92197,92200,92343,92561,94162,97483,104352,117145,vote_choice,27,1
MARK LENO,61515,61515,61662,62036,63349,64818,70046,115757,vote_choice,27,2
JANE KIM,60837,60837,60942,61588,62163,63794,67034,NA,vote_choice,27,3
ANGELA ALIOTO,17600,17600,17812,18014,20346,23056,NA,NA,vote_choice,27,4
ELLEN LEE ZHOU,9597,9597,9729,9863,10964,NA,NA,NA,vote_choice,27,5
RICHIE GREENBERG,7062,7062,7152,7261,NA,NA,NA,NA,vote_choice,27,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice,27,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,27,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,27,9
"NA",0,0,0,75,414,2247,9966,18496,vote_choice,27,10
LONDON BREED,92197,92200,92350,92561,94180,97481,104344,117170,vote_choice,28,1
MARK LENO,61515,61515,61661,62037,63344,64796,70092,115793,vote_choice,28,2
JANE KIM,60837,60837,60943,61591,62147,63806,66984,NA,vote_choice,28,3
ANGELA ALIOTO,17600,17600,17814,18020,20370,23084,NA,NA,vote_choice,28,4
ELLEN LEE ZHOU,9597,9597,9723,9858,10933,NA,NA,NA,vote_choice,28,5
RICHIE GREENBERG,7062,7062,7153,7260,NA,NA,NA,NA,vote_choice,28,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,28,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,28,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,28,9
"NA",0,0,0,71,424,2231,9978,18435,vote_choice,28,10
LONDON BREED,92197,92200,92336,92549,94123,97415,104203,117039,vote_choice,29,1
MARK LENO,61515,61515,61655,62026,63357,64791,70021,115715,vote_choice,29,2
JANE KIM,60837,60837,60947,61586,62151,63808,67053,NA,vote_choice,29,3
ANGELA ALIOTO,17600,17600,17821,18028,20360,23081,NA,NA,vote_choice,29,4
ELLEN LEE ZHOU,9597,9597,9734,9881,10998,NA,NA,NA,vote_choice,29,5
RICHIE GREENBERG,7062,7062,7148,7254,NA,NA,NA,NA,vote_choice,29,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,29,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,29,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,29,9
"NA",0,0,0,74,409,2303,10121,18644,vote_choice,29,10
LONDON BREED,92197,92200,92339,92549,94161,97482,104310,117150,vote_choice,30,1
MARK LENO,61515,61515,61658,62036,63375,64778,69981,115665,vote_choice,30,2
JANE KIM,60837,60837,60942,61588,62162,63815,67036,NA,vote_choice,30,3
ANGELA ALIOTO,17600,17600,17809,18010,20326,23061,NA,NA,vote_choice,30,4
ELLEN LEE ZHOU,9597,9597,9731,9874,10946,NA,NA,NA,vote_choice,30,5
RICHIE GREENBERG,7062,7062,7168,7273,NA,NA,NA,NA,vote_choice,30,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice,30,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,30,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,30,9
"NA",0,0,0,68,428,2262,10071,18583,vote_choice,30,10
LONDON BREED,92197,92200,92343,92555,94207,97525,104393,117185,vote_choice,31,1
MARK LENO,61515,61515,61658,62028,63341,64795,70053,115781,vote_choice,31,2
JANE KIM,60837,60837,60941,61579,62160,63816,66995,NA,vote_choice,31,3
ANGELA ALIOTO,17600,17600,17822,18025,20325,23003,NA,NA,vote_choice,31,4
ELLEN LEE ZHOU,9597,9597,9727,9875,10953,NA,NA,NA,vote_choice,31,5
RICHIE GREENBERG,7062,7062,7150,7262,NA,NA,NA,NA,vote_choice,31,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,31,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,31,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,31,9
"NA",0,0,0,74,412,2259,9957,18432,vote_choice,31,10
LONDON BREED,92197,92200,92353,92557,94108,97409,104312,117138,vote_choice,32,1
MARK LENO,61515,61515,61648,62017,63320,64784,69980,115704,vote_choice,32,2
JANE KIM,60837,60837,60944,61599,62179,63804,67003,NA,vote_choice,32,3
ANGELA ALIOTO,17600,17600,17818,18019,20390,23092,NA,NA,vote_choice,32,4
ELLEN LEE ZHOU,9597,9597,9727,9869,10981,NA,NA,NA,vote_choice,32,5
RICHIE GREENBERG,7062,7062,7154,7266,NA,NA,NA,NA,vote_choice,32,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,32,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,32,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,32,9
"NA",0,0,0,71,420,2309,10103,18556,vote_choice,32,10
LONDON BREED,92197,92200,92334,92546,94133,97479,104344,117149,vote_choice,33,1
MARK LENO,61515,61515,61650,62029,63321,64726,69941,115664,vote_choice,33,2
JANE KIM,60837,60837,60948,61574,62162,63819,67021,NA,vote_choice,33,3
ANGELA ALIOTO,17600,17600,17821,18027,20392,23112,NA,NA,vote_choice,33,4
ELLEN LEE ZHOU,9597,9597,9733,9884,10966,NA,NA,NA,vote_choice,33,5
RICHIE GREENBERG,7062,7062,7152,7261,NA,NA,NA,NA,vote_choice,33,6
AMY FARAH WEISS,1683,1683,1760,NA,NA,NA,NA,NA,vote_choice,33,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,33,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,33,9
"NA",0,0,0,77,424,2262,10092,18585,vote_choice,33,10
LONDON BREED,92197,92200,92349,92562,94132,97444,104289,117122,vote_choice,34,1
MARK LENO,61515,61515,61654,62033,63370,64790,70057,115766,vote_choice,34,2
JANE KIM,60837,60837,60945,61587,62157,63802,67026,NA,vote_choice,34,3
ANGELA ALIOTO,17600,17600,17825,18026,20353,23087,NA,NA,vote_choice,34,4
ELLEN LEE ZHOU,9597,9597,9724,9867,10980,NA,NA,NA,vote_choice,34,5
RICHIE GREENBERG,7062,7062,7149,7254,NA,NA,NA,NA,vote_choice,34,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,34,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,34,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,34,9
"NA",0,0,0,69,406,2275,10026,18510,vote_choice,34,10
LONDON BREED,92197,92200,92353,92566,94162,97468,104333,117139,vote_choice,35,1
MARK LENO,61515,61515,61653,62028,63347,64772,70027,115780,vote_choice,35,2
JANE KIM,60837,60837,60943,61587,62171,63834,67062,NA,vote_choice,35,3
ANGELA ALIOTO,17600,17600,17811,18019,20347,23046,NA,NA,vote_choice,35,4
ELLEN LEE ZHOU,9597,9597,9724,9858,10953,NA,NA,NA,vote_choice,35,5
RICHIE GREENBERG,7062,7062,7158,7267,NA,NA,NA,NA,vote_choice,35,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,35,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,35,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,35,9
"NA",0,0,0,73,418,2278,9976,18479,vote_choice,35,10
LONDON BREED,92197,92200,92349,92564,94161,97470,104331,117167,vote_choice,36,1
MARK LENO,61515,61515,61653,62031,63309,64742,70026,115739,vote_choice,36,2
JANE KIM,60837,60837,60946,61586,62188,63827,66997,NA,vote_choice,36,3
ANGELA ALIOTO,17600,17600,17816,18012,20364,23088,NA,NA,vote_choice,36,4
ELLEN LEE ZHOU,9597,9597,9725,9872,10964,NA,NA,NA,vote_choice,36,5
RICHIE GREENBERG,7062,7062,7154,7261,NA,NA,NA,NA,vote_choice,36,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,36,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,36,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,36,9
"NA",0,0,0,72,412,2271,10044,18492,vote_choice,36,10
LONDON BREED,92197,92200,92337,92551,94151,97498,104342,117181,vote_choice,37,1
MARK LENO,61515,61515,61664,62040,63395,64846,70091,115769,vote_choice,37,2
JANE KIM,60837,60837,60945,61574,62154,63787,67001,NA,vote_choice,37,3
ANGELA ALIOTO,17600,17600,17824,18034,20327,23043,NA,NA,vote_choice,37,4
ELLEN LEE ZHOU,9597,9597,9722,9862,10952,NA,NA,NA,vote_choice,37,5
RICHIE GREENBERG,7062,7062,7157,7271,NA,NA,NA,NA,vote_choice,37,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,vote_choice,37,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,37,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,37,9
"NA",0,0,0,66,419,2224,9964,18448,vote_choice,37,10
LONDON BREED,92197,92200,92347,92562,94165,97505,104355,117139,vote_choice,38,1
MARK LENO,61515,61515,61651,62026,63326,64753,69996,115750,vote_choice,38,2
JANE KIM,60837,60837,60940,61586,62173,63831,67038,NA,vote_choice,38,3
ANGELA ALIOTO,17600,17600,17822,18017,20363,23049,NA,NA,vote_choice,38,4
ELLEN LEE ZHOU,9597,9597,9726,9865,10952,NA,NA,NA,vote_choice,38,5
RICHIE GREENBERG,7062,7062,7158,7271,NA,NA,NA,NA,vote_choice,38,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,38,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,38,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,38,9
"NA",0,0,0,71,419,2260,10009,18509,vote_choice,38,10
LONDON BREED,92197,92200,92342,92558,94171,97429,104315,117158,vote_choice,39,1
MARK LENO,61515,61515,61656,62027,63351,64799,70040,115718,vote_choice,39,2
JANE KIM,60837,60837,60951,61593,62160,63831,67046,NA,vote_choice,39,3
ANGELA ALIOTO,17600,17600,17821,18027,20361,23094,NA,NA,vote_choice,39,4
ELLEN LEE ZHOU,9597,9597,9721,9859,10935,NA,NA,NA,vote_choice,39,5
RICHIE GREENBERG,7062,7062,7153,7263,NA,NA,NA,NA,vote_choice,39,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,39,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,39,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,39,9
"NA",0,0,0,71,420,2245,9997,18522,vote_choice,39,10
LONDON BREED,92197,92200,92337,92551,94148,97465,104246,117058,vote_choice,40,1
MARK LENO,61515,61515,61655,62033,63359,64803,70019,115761,vote_choice,40,2
JANE KIM,60837,60837,60950,61586,62164,63791,67035,NA,vote_choice,40,3
ANGELA ALIOTO,17600,17600,17821,18031,20365,23066,NA,NA,vote_choice,40,4
ELLEN LEE ZHOU,9597,9597,9726,9863,10942,NA,NA,NA,vote_choice,40,5
RICHIE GREENBERG,7062,7062,7152,7260,NA,NA,NA,NA,vote_choice,40,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,40,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,40,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,40,9
"NA",0,0,0,74,420,2273,10098,18579,vote_choice,40,10
LONDON BREED,92197,92200,92338,92549,94142,97417,104276,117078,vote_choice,41,1
MARK LENO,61515,61515,61648,62033,63324,64776,70032,115753,vote_choice,41,2
JANE KIM,60837,60837,60952,61582,62161,63820,67027,NA,vote_choice,41,3
ANGELA ALIOTO,17600,17600,17829,18031,20395,23128,NA,NA,vote_choice,41,4
ELLEN LEE ZHOU,9597,9597,9734,9877,10980,NA,NA,NA,vote_choice,41,5
RICHIE GREENBERG,7062,7062,7149,7261,NA,NA,NA,NA,vote_choice,41,6
AMY FARAH WEISS,1683,1683,1748,NA,NA,NA,NA,NA,vote_choice,41,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,41,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,41,9
"NA",0,0,0,65,396,2257,10063,18567,vote_choice,41,10
LONDON BREED,92197,92200,92353,92568,94121,97445,104284,117095,vote_choice,42,1
MARK LENO,61515,61515,61654,62021,63344,64788,70044,115769,vote_choice,42,2
JANE KIM,60837,60837,60941,61594,62185,63845,67048,NA,vote_choice,42,3
ANGELA ALIOTO,17600,17600,17809,18009,20359,23071,NA,NA,vote_choice,42,4
ELLEN LEE ZHOU,9597,9597,9729,9870,10991,NA,NA,NA,vote_choice,42,5
RICHIE GREENBERG,7062,7062,7157,7264,NA,NA,NA,NA,vote_choice,42,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,42,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,42,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,42,9
"NA",0,0,0,72,398,2249,10022,18534,vote_choice,42,10
LONDON BREED,92197,92200,92345,92564,94156,97459,104247,117062,vote_choice,43,1
MARK LENO,61515,61515,61651,62020,63366,64814,70123,115840,vote_choice,43,2
JANE KIM,60837,60837,60946,61580,62159,63792,67007,NA,vote_choice,43,3
ANGELA ALIOTO,17600,17600,17819,18027,20331,23045,NA,NA,vote_choice,43,4
ELLEN LEE ZHOU,9597,9597,9734,9881,10978,NA,NA,NA,vote_choice,43,5
RICHIE GREENBERG,7062,7062,7150,7256,NA,NA,NA,NA,vote_choice,43,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,43,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,43,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,43,9
"NA",0,0,0,70,408,2288,10021,18496,vote_choice,43,10
LONDON BREED,92197,92200,92339,92552,94161,97488,104282,117091,vote_choice,44,1
MARK LENO,61515,61515,61659,62032,63362,64761,70015,115735,vote_choice,44,2
JANE KIM,60837,60837,60938,61573,62148,63781,67021,NA,vote_choice,44,3
ANGELA ALIOTO,17600,17600,17814,18019,20315,23057,NA,NA,vote_choice,44,4
ELLEN LEE ZHOU,9597,9597,9741,9888,10989,NA,NA,NA,vote_choice,44,5
RICHIE GREENBERG,7062,7062,7155,7265,NA,NA,NA,NA,vote_choice,44,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,44,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,44,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,44,9
"NA",0,0,0,69,423,2311,10080,18572,vote_choice,44,10
LONDON BREED,92197,92200,92337,92549,94160,97439,104312,117135,vote_choice,45,1
MARK LENO,61515,61515,61662,62037,63348,64806,70063,115806,vote_choice,45,2
JANE KIM,60837,60837,60950,61580,62158,63784,66996,NA,vote_choice,45,3
ANGELA ALIOTO,17600,17600,17817,18026,20348,23097,NA,NA,vote_choice,45,4
ELLEN LEE ZHOU,9597,9597,9731,9878,10979,NA,NA,NA,vote_choice,45,5
RICHIE GREENBERG,7062,7062,7147,7257,NA,NA,NA,NA,vote_choice,45,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,45,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,45,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,45,9
"NA",0,0,0,71,405,2272,10027,18457,vote_choice,45,10
LONDON BREED,92197,92200,92344,92555,94159,97452,104317,117140,vote_choice,46,1
MARK LENO,61515,61515,61657,62034,63351,64789,70083,115772,vote_choice,46,2
JANE KIM,60837,60837,60944,61579,62147,63805,67013,NA,vote_choice,46,3
ANGELA ALIOTO,17600,17600,17810,18018,20322,23047,NA,NA,vote_choice,46,4
ELLEN LEE ZHOU,9597,9597,9731,9877,11007,NA,NA,NA,vote_choice,46,5
RICHIE GREENBERG,7062,7062,7154,7260,NA,NA,NA,NA,vote_choice,46,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,vote_choice,46,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,46,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,46,9
"NA",0,0,0,75,412,2305,9985,18486,vote_choice,46,10
LONDON BREED,92197,92200,92339,92550,94125,97391,104232,117004,vote_choice,47,1
MARK LENO,61515,61515,61656,62032,63375,64820,70045,115803,vote_choice,47,2
JANE KIM,60837,60837,60947,61583,62162,63813,67040,NA,vote_choice,47,3
ANGELA ALIOTO,17600,17600,17805,18020,20361,23090,NA,NA,vote_choice,47,4
ELLEN LEE ZHOU,9597,9597,9723,9863,10942,NA,NA,NA,vote_choice,47,5
RICHIE GREENBERG,7062,7062,7161,7266,NA,NA,NA,NA,vote_choice,47,6
AMY FARAH WEISS,1683,1683,1767,NA,NA,NA,NA,NA,vote_choice,47,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,47,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,47,9
"NA",0,0,0,84,433,2284,10081,18591,vote_choice,47,10
LONDON BREED,92197,92200,92332,92552,94133,97441,104298,117119,vote_choice,48,1
MARK LENO,61515,61515,61645,62014,63355,64815,70068,115759,vote_choice,48,2
JANE KIM,60837,60837,60950,61582,62168,63829,67026,NA,vote_choice,48,3
ANGELA ALIOTO,17600,17600,17827,18037,20349,23038,NA,NA,vote_choice,48,4
ELLEN LEE ZHOU,9597,9597,9733,9877,10979,NA,NA,NA,vote_choice,48,5
RICHIE GREENBERG,7062,7062,7156,7264,NA,NA,NA,NA,vote_choice,48,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,48,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,48,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,48,9
"NA",0,0,0,72,414,2275,10006,18520,vote_choice,48,10
LONDON BREED,92197,92200,92338,92554,94167,97531,104341,117131,vote_choice,49,1
MARK LENO,61515,61515,61665,62042,63381,64832,70090,115853,vote_choice,49,2
JANE KIM,60837,60837,60944,61583,62156,63770,66999,NA,vote_choice,49,3
ANGELA ALIOTO,17600,17600,17820,18017,20338,23010,NA,NA,vote_choice,49,4
ELLEN LEE ZHOU,9597,9597,9728,9876,10951,NA,NA,NA,vote_choice,49,5
